"","borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","bbl","buildingIdentificationNumber","cooperativeIdNumber","gi5DigitStreetCode1","giHighHouseNumber1","giLowHouseNumber1","giStreetName1","lat","lng"
"293",2,"BELMONT","22  STORE BUILDINGS","4",3071,16,"K1","2292 Arthur Avenue",NA,10457,0,1,1,"11965",11605,1971,"4","K1",3300000,2012-07-26,2030710016,"2012076","0000","09520","2292","2292","ARTHUR AVENUE",40.8528718272337,-73.8894575805878
"294",2,"CROTONA PARK","02  TWO FAMILY HOMES","1",2948,55,"B3","739 Crotona Park North",NA,10457,2,0,2,"2300",1721,1901,"1","B3",382540,2012-05-22,2029480055,"2009943","0000","22520","739","739","CROTONA PARK NORTH",40.8416133269147,-73.8926711811816
"295",2,"EAST TREMONT","01  ONE FAMILY HOMES","1",3098,146,"A5","2135 Clinton Avenue",NA,10457,1,0,1,"2360",1320,1985,"1","A5",130000,2012-05-01,2030980146,"2086803","0000","20220","2135","2135","CLINTON AVENUE",40.8489911756146,-73.8869989182534
"296",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",2950,64,"B2","1947 Clinton Ave",NA,10457,2,0,2,"2500",2192,1899,"1","B2",290000,2012-07-02,2029500064,"2009980","0000","20220","1947","1947","CLINTON AVENUE",40.8445593215576,-73.8907291675239
"297",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",2950,64,"B2","1947 Clinton Avenue",NA,10457,2,0,2,"2500",2192,1899,"1","B2",86000,2012-05-18,2029500064,"2009980","0000","20220","1947","1947","CLINTON AVENUE",40.8445593215576,-73.8907291675239
"298",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",2950,65,"B2","1945 Clinton Avenue",NA,10457,2,0,2,"2500",2192,1899,"1","B2",271500,2012-10-11,2029500065,"2009981","0000","20220","1945","1945","CLINTON AVENUE",40.8445017272613,-73.8907762478852
"299",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",3068,22,"B2","2022 Lafontaine Ave",NA,10457,2,0,2,"2608",2232,1901,"1","B2",169000,2012-10-25,2030680022,"2011964","0000","44720","2022","2022","LAFONTAINE AVENUE",40.8478937007664,-73.8931887607223
"300",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",3080,112,"B1","2062 Hughes Avenue",NA,10457,2,0,2,"1462",1540,1995,"1","B1",390000,2012-11-27,2030800112,"2103627","0000","41320","2062","2062","HUGHES AVENUE",40.8482481142661,-73.8906291310436
"301",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",3080,112,"B1","2062 Hughes Avenue",NA,10457,2,0,2,"1462",1540,1995,"1","B1",220000,2012-05-31,2030800112,"2103627","0000","41320","2062","2062","HUGHES AVENUE",40.8482481142661,-73.8906291310436
"302",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",3082,13,"B1","2142 Hughes Avenue",NA,10457,2,0,2,"1451",2820,2011,"1","B1",425000,2012-11-08,2030820013,"2124488",NA,"41320","2142","2142","HUGHES AVENUE",40.8503301091878,-73.8893316788583
"303",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",3082,28,"B1","644 East 182nd Street",NA,10457,2,0,2,"1925",2400,1997,"1","B1",294060,2012-03-15,2030820028,"2115430","0000","27120","644","644","EAST  182 STREET",40.8510871985607,-73.888864129774
"304",2,"EAST TREMONT","02  TWO FAMILY HOMES","1",3082,51,"B2","2149 Belmont Avenue",NA,10457,2,0,2,"1534",2862,1901,"1","B2",384500,2012-04-30,2030820051,"2012391","0000","12520","2149","2149","BELMONT AVENUE",40.8500801504325,-73.8891332921734
